cohort,class,n,precision,recall,f1
kermany,NORMAL,4906,0.9255,0.9289,0.9272
kermany,DRUSEN,1294,0.6629,0.6886,0.6755
kermany,CNV,3050,0.9061,0.8731,0.8893
kermany,DME,1659,0.8161,0.8373,0.8265
kermany,MACRO (4 cls),10909,0.8277,0.8319,0.8296
neh,NORMAL,885,0.8233,0.6791,0.7443
neh,DRUSEN,849,0.6235,0.8504,0.7195
neh,CNV,729,0.9727,0.7339,0.8366
neh,DME,0,,,
neh,MACRO (3 cls),2463,0.8065,0.7545,0.7668
